Contact.FanId__c,Origin,CSAT__c,Priority,Reason,Subject,Status,CaseOpened__c,ClosedDate
FAN-6632248,Chat,5,Medium,Ticket Purchase Issues,Payment processing errors.,Escalated,45092,
FAN-2182093,Phone,3,High,Ticket Purchase Issues,Difficulty navigating the ticket purchase portal.,Escalated,45224,
FAN-3210151,Email,1,High,Ticket Purchase Issues,Issues with applying promo codes or discounts.,Escalated,45187,
FAN-6081319,Email,2,Medium,Order Status and Tracking,Tracking information not received.,Escalated,45275,
FAN-2182093,Email,4,High,Order Status and Tracking,Order confirmation not received.,Closed,45025,45311
FAN-2602971,Phone,4,High,Order Status and Tracking,Requesting updates on the shipping status.,Closed,45044,45311
FAN-2182093,Email,2,Low,Refund and Cancellation Requests,Change in plans or unforeseen circumstances.,Escalated,45268,
FAN-8675384,Chat,5,Low,Refund and Cancellation Requests,Dissatisfaction with the purchased product or service.,Closed,45190,45311
FAN-6841199,Email,3,Medium,Ticket Transfer and Resale,Guidance on the ticket transfer process.,Escalated,45143,
FAN-7106045,Email,4,High,Ticket Transfer and Resale,Assistance with listing tickets for resale.,Escalated,45256,
FAN-7468232,Chat,1,High,General Inquiries and Information Requests,Event details and schedule inquiries.,Escalated,45053,
FAN-6632248,Chat,1,High,General Inquiries and Information Requests,Merchandise sizing and availability questions.,Closed,45224,45311
FAN-8425559,Chat,5,High,General Inquiries and Information Requests,Information about venue policies.,Escalated,45080,
FAN-3708832,Email,1,High,Technical Support,Unable to log in or create an account.,Closed,44974,45311
FAN-9925460,Phone,2,Medium,Technical Support,Technical errors during the checkout process.,Closed,45169,45311
FAN-1876301,Email,2,Medium,Technical Support,Mobile app functionality problems.,Closed,45223,45311
FAN-8090324,Chat,1,,Merchandise Returns and Exchanges,Dissatisfaction with the received product.,Escalated,45276,
FAN-6446029,Chat,5,High,Merchandise Returns and Exchanges,Incorrect size or color received.,Escalated,45271,
FAN-4912460,Phone,4,Medium,Merchandise Returns and Exchanges,Defective or damaged merchandise.,Closed,45308,45311
FAN-1868430,Chat,5,High,Accessibility and Special Requests,Requesting accommodations for persons with disabilities.,Escalated,45280,
FAN-6026267,Chat,2,Low,Accessibility and Special Requests,Special seating requests for events.,Escalated,45006,
FAN-3651555,Email,3,Low,Accessibility and Special Requests,Dietary restrictions for event-related services.,Escalated,45297,
FAN-9783885,Phone,2,High,Complaints and Feedback,Poor customer service experience.,Escalated,45227,
FAN-6285208,Phone,4,Medium,Complaints and Feedback,Unresolved issues with a previous case.,Escalated,45038,
FAN-1822456,Phone,1,Low,Complaints and Feedback,Suggestions for improvement.,Escalated,45048,
FAN-2142178,Chat,2,Medium,Membership and Loyalty Program Issues,Problems with accessing loyalty program benefits.,Escalated,45120,
FAN-2285853,Chat,3,Low,Membership and Loyalty Program Issues,Inquiries about membership renewal or expiration.,Escalated,45153,
FAN-5044681,Phone,4,,Ticket Purchase Issues,Payment processing errors.,Closed,45055,45311
FAN-6632248,Phone,2,Medium,Ticket Purchase Issues,Difficulty navigating the ticket purchase portal.,Closed,45081,45311
FAN-7495136,Chat,1,Medium,Ticket Purchase Issues,Issues with applying promo codes or discounts.,Escalated,44984,
FAN-4288380,Chat,3,Medium,Order Status and Tracking,Tracking information not received.,Closed,45175,45311
FAN-6563416,Phone,4,Medium,Order Status and Tracking,Order confirmation not received.,Escalated,45033,
FAN-1700571,Email,1,High,Order Status and Tracking,Requesting updates on the shipping status.,Working,45083,
FAN-9544449,Chat,5,Low,Refund and Cancellation Requests,Change in plans or unforeseen circumstances.,Escalated,45298,
FAN-1570540,Phone,5,High,Refund and Cancellation Requests,Dissatisfaction with the purchased product or service.,New,45016,
FAN-9485968,Chat,3,Medium,Ticket Transfer and Resale,Guidance on the ticket transfer process.,Escalated,45219,
FAN-1949136,Chat,2,Low,Ticket Transfer and Resale,Assistance with listing tickets for resale.,Escalated,45065,
FAN-5698447,Chat,2,Low,General Inquiries and Information Requests,Event details and schedule inquiries.,Working,45283,
FAN-3100350,Phone,1,Low,General Inquiries and Information Requests,Merchandise sizing and availability questions.,Closed,45210,45311
FAN-5577886,Email,3,High,General Inquiries and Information Requests,Information about venue policies.,New,45298,
FAN-8252780,Phone,1,Low,Technical Support,Unable to log in or create an account.,Working,45042,
FAN-9308199,Phone,2,Medium,Technical Support,Technical errors during the checkout process.,Escalated,45084,
FAN-7216049,Chat,3,Low,Technical Support,Mobile app functionality problems.,Escalated,45301,
FAN-1654512,Chat,4,Medium,Merchandise Returns and Exchanges,Dissatisfaction with the received product.,Escalated,45037,
FAN-8495678,Email,4,Low,Merchandise Returns and Exchanges,Incorrect size or color received.,Escalated,45045,
FAN-8641535,Chat,1,Low,Merchandise Returns and Exchanges,Defective or damaged merchandise.,Closed,45229,45311
FAN-6181985,Chat,3,High,Accessibility and Special Requests,Requesting accommodations for persons with disabilities.,Escalated,45305,
FAN-8564819,Email,3,Medium,Accessibility and Special Requests,Special seating requests for events.,Escalated,45048,
FAN-4774750,Chat,1,Low,Accessibility and Special Requests,Dietary restrictions for event-related services.,Escalated,45308,
FAN-7778510,Chat,5,Low,Complaints and Feedback,Poor customer service experience.,New,45214,
FAN-4794615,Email,5,High,Complaints and Feedback,Unresolved issues with a previous case.,Working,45155,
FAN-7258700,Email,1,High,Complaints and Feedback,Suggestions for improvement.,New,45253,
FAN-7032518,Chat,1,Medium,Membership and Loyalty Program Issues,Problems with accessing loyalty program benefits.,Escalated,45121,
FAN-6556996,Chat,5,High,Membership and Loyalty Program Issues,Inquiries about membership renewal or expiration.,Closed,45069,45311
FAN-6632248,Email,2,Medium,Ticket Purchase Issues,Payment processing errors.,Escalated,44985,
FAN-9958480,Email,3,Low,Ticket Purchase Issues,Difficulty navigating the ticket purchase portal.,Closed,45069,45311
FAN-6213345,Email,3,High,Ticket Purchase Issues,Issues with applying promo codes or discounts.,Closed,45059,45311
FAN-6632248,Phone,4,Medium,Order Status and Tracking,Tracking information not received.,Closed,45126,45311
FAN-8476294,Email,5,Low,Order Status and Tracking,Order confirmation not received.,Escalated,45303,
FAN-2453632,Email,4,Low,Order Status and Tracking,Requesting updates on the shipping status.,Escalated,45137,
FAN-4256097,Phone,5,Low,Refund and Cancellation Requests,Change in plans or unforeseen circumstances.,New,45136,
FAN-6213345,Email,4,Low,Refund and Cancellation Requests,Dissatisfaction with the purchased product or service.,Escalated,45206,
FAN-1577132,Chat,5,Low,Ticket Transfer and Resale,Guidance on the ticket transfer process.,New,45203,
FAN-9699213,Email,2,High,Ticket Transfer and Resale,Assistance with listing tickets for resale.,Closed,45040,45311
FAN-4473215,Email,2,,General Inquiries and Information Requests,Event details and schedule inquiries.,New,45034,
FAN-4249771,Phone,1,High,General Inquiries and Information Requests,Merchandise sizing and availability questions.,New,45138,
FAN-7404798,Phone,2,Medium,General Inquiries and Information Requests,Information about venue policies.,Escalated,45064,
FAN-8182403,Email,4,,Technical Support,Unable to log in or create an account.,Escalated,45060,
FAN-7332220,Chat,2,Low,Technical Support,Technical errors during the checkout process.,Escalated,45209,
FAN-9913759,Phone,1,Low,Technical Support,Mobile app functionality problems.,Closed,44967,45311
FAN-5846137,Phone,5,High,Merchandise Returns and Exchanges,Dissatisfaction with the received product.,Escalated,45116,
FAN-4507538,Email,3,Low,Merchandise Returns and Exchanges,Incorrect size or color received.,Closed,45039,45311
FAN-7419788,Chat,2,Low,Merchandise Returns and Exchanges,Defective or damaged merchandise.,Escalated,45272,
FAN-7258700,Phone,1,High,Accessibility and Special Requests,Requesting accommodations for persons with disabilities.,Closed,45223,45311
FAN-5346857,Chat,3,Low,Accessibility and Special Requests,Special seating requests for events.,Working,45096,
FAN-7917767,Phone,1,Low,Accessibility and Special Requests,Dietary restrictions for event-related services.,Closed,45038,45311
FAN-8905198,Chat,2,Low,Complaints and Feedback,Poor customer service experience.,Escalated,45187,
FAN-6632248,Email,5,Medium,Complaints and Feedback,Unresolved issues with a previous case.,Escalated,45038,
